# T=10^0	T=10^1	T=10^2	T=10^3	T=10^4
0	6	95	950	9885
1	9	91	974	10033
3	12	107	978	9914
2	14	103	985	10075
1	10	107	966	9911
2	11	101	993	10034
1	7	89	963	9970
5	12	105	1006	10131
1	15	104	969	9929
0	10	108	1056	10118
1	12	106	1019	10098
2	16	117	1003	10212
3	7	110	1034	10041
0	7	89	965	9979
0	10	98	985	10024
0	11	88	984	10190
2	15	95	995	10056
0	9	108	1025	10104
3	13	116	1064	9981
1	12	120	1060	9863
0	10	119	1029	10073
1	15	97	950	9993
3	11	108	1003	9853
1	11	103	1012	9834
1	7	84	982	10090
1	10	111	1034	10026
2	12	103	996	9918
0	9	104	1018	9866
1	11	95	1003	10018
0	10	109	1015	9875
1	13	108	981	10097
0	8	97	993	9894
2	11	93	983	10059
2	17	110	1028	10113
1	8	96	995	9829
0	12	101	971	10010
1	12	106	1051	10160
0	12	116	998	9946
1	15	131	1016	10099
3	13	102	929	10135
1	10	95	1017	10221
1	9	79	931	9896
3	10	103	1013	10029
0	12	90	1064	10098
2	14	105	1017	10056
4	15	119	996	9801
3	13	117	1009	9875
4	14	87	979	9942
0	14	96	994	10088
0	9	121	1026	10041
2	7	105	986	9984
1	10	107	1001	10214
1	12	91	986	9982
0	15	86	929	9871
1	11	109	994	9932
0	7	108	978	10119
0	5	91	1010	10169
1	9	96	1010	10053
1	12	93	980	9833
1	14	107	1034	10083
2	13	107	1041	9964
1	8	115	976	9927
0	12	105	1011	10034
1	10	92	1008	10045
1	4	92	970	10158
0	13	110	1003	9988
2	8	100	1023	9968
1	11	89	950	9817
0	13	104	1009	9905
3	11	100	945	9893
2	8	113	1049	10224
0	8	109	1014	9977
1	9	88	1032	10192
0	6	94	985	10191
2	5	97	976	9839
2	13	112	968	9855
1	14	105	1059	10106
1	10	119	1018	10125
0	11	90	974	9832
1	11	114	1037	10144
0	8	86	1001	10011
0	9	100	970	9961
2	10	104	983	9978
1	6	92	999	9992
1	12	89	1041	10052
1	12	113	953	9890
0	6	84	967	9810
1	8	106	990	9970
0	8	89	947	9838
2	12	106	1021	10097
2	8	100	1050	10072
1	10	90	981	9979
1	4	83	968	9865
1	13	99	1042	10125
3	13	107	988	10039
0	9	106	1046	10064
1	12	116	1037	10101
5	17	101	998	9907
1	17	106	1020	10169
1	9	88	953	10027
1	8	83	970	9982
0	10	100	968	9827
1	9	103	1038	9915
1	10	106	943	9873
0	10	82	987	9997
2	13	110	1032	10089
0	11	102	1016	9977
1	8	99	1009	10098
1	8	100	1020	9909
2	10	102	1002	10025
0	6	87	982	10105
1	7	107	965	9913
0	8	97	987	9826
1	13	110	1030	10034
1	11	98	959	9836
0	6	88	984	10132
2	9	130	1029	10110
2	8	99	969	9958
1	11	97	990	10007
0	10	91	1040	10013
0	9	101	1027	10120
1	10	81	955	9959
0	12	89	1023	10122
0	9	105	1001	10056
1	4	86	985	10080
0	7	100	1003	9970
0	14	112	1076	10120
0	14	113	1032	10002
1	9	93	984	9961
0	8	89	1010	10066
2	15	96	951	10055
0	7	101	1008	9926
0	5	92	992	10079
2	6	78	991	9897
0	7	120	985	9804
2	7	115	972	10254
2	7	110	1016	10174
0	11	91	975	9959
2	15	97	962	10124
1	7	90	1013	10065
0	13	118	1014	9924
2	13	97	989	10029
0	10	109	988	10068
3	12	91	1045	9968
0	4	100	1022	10056
1	5	92	995	10003
0	5	87	954	9799
0	13	116	1025	9970
0	8	103	951	10130
0	8	80	1046	9987
0	7	103	1090	10171
0	11	88	1027	9919
1	17	112	993	9985
0	6	116	1047	9935
0	8	96	989	9903
0	7	101	998	10017
0	11	99	991	9948
0	6	97	970	9986
0	5	99	1016	10026
0	10	95	957	9919
1	5	111	955	10021
3	11	97	976	9788
0	4	92	1040	9989
2	10	96	981	9913
1	7	100	990	9960
0	11	106	990	9993
1	10	100	990	10114
0	4	87	945	9950
0	4	93	1040	9945
1	9	88	1001	10069
2	12	114	1057	10077
0	18	101	991	10025
1	8	88	979	10069
1	8	100	945	10040
1	9	97	935	10013
2	10	97	965	9829
0	10	95	986	10082
0	9	85	994	10152
4	14	112	989	10071
1	6	91	975	10099
2	9	90	1031	10006
1	9	109	984	9901
0	9	109	953	9866
2	13	119	1000	10029
0	13	96	1025	9992
1	9	117	1047	10003
2	13	105	982	9989
0	10	105	991	9877
2	8	104	1022	10005
1	6	107	957	10001
0	7	99	1014	9946
0	14	112	985	9905
1	11	88	974	10060
1	10	105	971	9945
3	15	104	1009	10010
1	11	105	1000	9831
1	10	99	1025	10122
0	9	99	955	10118
2	11	106	962	9867
1	11	109	1016	10144
1	14	109	1019	10089
0	11	114	1055	10128
1	7	91	1010	10123
1	14	106	964	9790
2	11	107	953	10034
0	9	110	1004	10052
0	7	88	940	10018
0	9	125	996	10032
0	5	109	1035	10030
1	12	98	1028	9994
1	16	99	995	10137
0	10	89	1003	10025
2	9	118	942	9896
1	13	110	1018	9942
0	9	84	991	10041
1	10	100	1054	10040
0	11	104	1026	9864
0	12	95	1006	10066
4	20	104	976	10015
0	15	113	1040	10306
2	7	102	1003	9993
2	12	98	1028	10196
2	11	104	982	9862
1	8	103	986	10003
1	13	95	1032	9920
0	8	94	990	9986
0	9	91	1011	9876
0	11	89	1022	9955
2	11	108	968	9969
1	13	114	1019	9948
1	12	113	1004	9853
1	14	114	1031	9973
1	12	99	1005	9987
1	8	114	1021	10131
1	11	107	1040	10017
1	8	98	1041	10084
2	11	114	989	10098
1	12	101	998	9801
1	8	111	985	9989
3	11	113	958	9982
0	6	107	973	10009
1	8	79	1062	10145
0	9	100	976	10046
5	18	108	1015	10145
0	10	107	1007	9965
2	10	125	1024	10032
0	8	91	961	9924
0	9	90	971	9986
0	6	114	1027	10065
3	9	92	985	10097
1	14	111	1023	10041
1	4	88	973	9962
2	8	88	972	9947
2	11	102	982	9923
0	5	93	988	10022
0	12	98	997	10048
0	4	92	988	9907
1	13	93	949	9867
2	13	112	946	9789
0	12	100	1031	9961
1	5	107	950	9903
1	5	108	1045	10016
1	11	106	970	9924
1	11	110	955	9936
2	8	117	1023	10025
0	10	113	1015	10046
2	8	88	983	10032
1	6	83	1006	9951
1	9	96	968	10063
1	12	96	1046	10123
1	11	90	966	9757
0	14	91	1070	10213
3	11	110	944	9767
0	13	97	992	9705
2	11	96	968	9929
1	17	114	996	10156
0	11	101	974	9960
0	12	120	1028	10277
0	7	100	1004	9824
0	13	125	1011	10056
0	13	96	1009	9962
0	8	99	1035	9936
1	11	97	1004	10026
2	11	114	1045	10097
1	13	99	1023	10083
1	10	105	1041	9928
3	11	89	960	9985
1	9	107	967	9998
0	14	103	972	10012
0	9	105	996	9985
0	14	93	971	10138
1	7	78	1036	10112
0	5	96	996	9822
1	9	95	973	10099
2	10	113	970	9988
0	12	98	977	9924
0	6	92	970	9767
1	9	106	971	9877
0	10	107	1058	10115
3	13	99	1034	10032
0	5	87	996	9938
1	11	90	972	10032
0	8	91	910	9884
1	9	111	1043	9866
0	14	112	1048	10038
0	2	89	987	9915
2	8	108	1029	10035
1	7	95	986	9843
1	12	106	995	9925
2	12	89	981	9938
0	9	100	991	9852
0	6	92	1004	9997
4	14	109	1004	9963
2	12	104	997	10008
1	14	118	980	10005
1	13	105	952	9967
1	10	106	1026	10053
1	10	88	1005	9990
0	7	90	1032	9999
1	8	100	1000	10050
0	7	86	1033	9908
1	12	119	1030	10081
1	11	79	961	9739
1	10	113	950	9750
0	9	101	999	9965
2	6	100	999	9986
0	11	103	1035	9897
0	8	96	1015	9987
2	10	83	950	10051
2	15	104	1022	9959
1	10	94	1022	9971
0	7	102	1014	10190
0	9	108	1011	10060
0	13	104	1033	10207
0	10	94	1018	10108
4	15	98	970	9968
0	12	89	1009	9940
0	5	97	973	10083
3	10	91	1004	9994
1	10	104	1010	10126
2	16	107	963	9780
1	4	79	979	10023
2	11	95	1026	10007
0	10	97	1002	10007
2	11	105	992	9984
1	7	105	951	10007
3	16	101	1005	10091
0	11	98	1021	10108
0	5	99	976	9945
0	13	97	957	9832
1	12	105	988	9966
1	8	94	1007	10011
0	9	90	996	10142
1	8	86	969	9852
1	10	100	1020	9931
0	10	84	1005	10116
1	12	100	1000	10071
1	9	99	1031	10004
1	8	112	974	9935
4	8	81	952	9883
2	10	95	1023	9904
0	18	108	1055	10192
1	7	111	1019	10076
0	8	110	1019	10060
0	10	95	1014	10042
0	4	101	979	9807
0	11	98	1031	10017
0	8	97	972	10029
0	10	98	973	10052
1	13	110	1037	9832
0	11	113	1029	10030
2	11	106	1024	9955
1	9	94	1022	9979
1	6	117	1026	10188
0	6	112	989	10155
2	13	113	1008	9952
0	11	91	990	10181
1	9	101	1051	10004
0	9	106	961	9889
1	11	104	924	9967
1	11	90	1081	10028
2	8	97	977	9914
2	7	108	1020	10136
4	12	94	996	9898
1	4	85	1066	10140
0	6	99	1018	9977
1	11	103	948	9961
0	12	83	947	9757
2	7	118	1041	10020
0	10	78	992	10159
1	8	98	970	9875
0	11	105	1046	10140
1	9	105	1012	9940
1	12	96	1017	10051
2	11	93	1011	10084
0	7	89	990	10003
2	12	110	991	10152
0	5	96	1024	9886
1	7	113	990	10039
3	7	77	986	9954
0	5	89	959	10066
2	11	100	966	10185
1	8	90	1038	10017
0	4	101	1005	10108
0	10	97	983	9936
2	20	114	987	9745
0	7	111	1012	10107
1	7	97	975	9996
1	9	85	996	10165
2	15	126	1021	9890
1	10	97	989	9983
1	6	94	1007	9934
1	4	85	1019	9954
0	10	108	1003	10150
1	7	90	997	9913
0	14	108	1024	9910
2	12	106	977	9879
0	12	112	1031	9918
2	11	133	1062	10165
0	12	103	1004	9994
1	6	102	950	9850
1	14	99	1012	10069
0	10	85	1014	10017
2	16	112	984	10078
0	15	122	1055	10114
1	14	110	1038	9919
0	10	107	1013	10175
2	7	118	1016	10057
0	15	103	1015	9918
0	5	117	1019	9906
3	10	88	986	10085
2	11	100	950	9869
2	9	111	981	10237
1	7	95	981	9878
2	11	99	973	10209
1	9	92	945	9931
1	6	100	978	9889
0	10	87	937	9931
1	9	108	997	10034
1	11	110	1061	10148
0	6	84	984	10037
1	15	93	1007	10060
1	9	84	959	9899
1	10	102	1026	10036
1	12	95	1012	10024
1	14	96	982	9947
0	7	98	959	10148
1	7	88	950	9961
1	11	110	1019	10011
1	11	101	1035	10052
0	9	113	1016	10130
3	12	110	1033	10075
0	8	96	982	9967
2	14	106	982	9797
0	5	90	1010	10120
2	13	110	936	9911
0	7	90	1027	9900
1	10	94	1040	9831
2	10	101	1013	9946
0	8	87	980	10017
2	12	104	972	9936
0	12	106	1009	10106
0	6	97	987	9983
1	11	99	971	10065
0	10	103	1059	10211
2	8	105	997	10029
0	10	107	1039	10093
1	9	97	1011	10036
0	10	103	997	10053
1	9	90	986	10062
2	6	89	1013	10099
1	7	110	986	10215
1	8	90	1021	10041
1	11	92	946	9870
2	7	89	999	10158
0	12	108	1004	10045
2	9	109	971	10022
1	8	96	930	9785
1	8	90	979	9914
2	12	88	950	9955
2	11	93	1049	10151
0	8	90	938	9994
0	8	98	996	9961
1	9	96	1054	9943
2	9	106	996	9946
2	11	101	1040	10031
0	5	106	1010	10156
1	11	105	965	10022
0	5	90	994	9876
4	12	106	1087	10110
1	6	89	1007	9885
1	9	103	1008	9900
1	7	97	953	9957
2	11	100	1027	9954
1	8	95	1033	10045
1	12	91	1050	9942
0	9	103	1003	10114
1	13	105	998	9991
3	11	99	1039	10093
2	11	99	966	9965
0	10	82	992	9925
1	6	84	983	9953
0	12	102	1014	9977
0	7	96	963	9951
1	12	105	1011	10184
1	7	98	970	9882
1	11	121	1022	10038
0	15	117	1014	10104
2	10	94	1006	10149
2	15	123	1011	9951
0	8	119	1055	10102
2	9	93	964	9990
3	11	102	967	10006
2	13	102	1002	10072
2	8	121	1062	10130
1	6	108	1029	10000
1	5	88	986	9923
1	9	101	1041	10265
1	11	84	978	10005
2	9	88	971	9967
1	5	111	1041	9966
3	8	102	1004	10075
0	7	95	1050	10013
4	8	100	1010	10112
1	7	90	991	10008
1	9	103	1015	10076
0	10	92	1059	10116
3	11	82	976	9967
2	16	118	970	10198
0	11	95	1039	10085
1	6	111	983	9872
0	5	101	999	10122
2	13	89	1017	10078
0	9	95	1014	10187
2	9	91	1047	9945
1	11	94	1015	10121
3	8	80	928	9982
1	11	112	1048	10040
0	9	95	1032	10057
0	13	90	964	9910
0	11	88	955	9841
0	14	106	1041	9959
2	13	110	1025	9904
2	15	104	1007	10016
1	13	108	1019	9962
2	12	96	1026	10016
1	6	84	1020	10087
1	14	113	1026	9986
1	10	118	1012	9937
2	7	122	1009	10008
1	13	105	1010	9970
0	11	110	1025	9895
1	12	98	1034	10078
2	12	114	1071	9997
2	17	105	997	10202
2	14	111	1069	10065
1	11	100	1077	9928
2	12	116	1031	10036
2	12	94	986	9920
1	13	107	1035	9947
2	14	103	965	10097
0	10	97	996	10045
1	10	105	988	10153
1	14	88	1036	10171
0	6	102	960	9871
1	10	106	990	9940
0	11	102	978	9896
1	7	89	962	9989
0	5	91	982	9934
0	11	86	945	10092
2	10	92	953	9741
0	12	100	1000	10148
0	8	90	994	9898
1	8	84	1077	9971
0	10	106	953	10027
1	9	116	1020	9890
3	15	94	1010	9987
2	10	95	955	9806
1	8	86	994	10007
1	11	101	985	9905
1	13	94	1013	9934
2	10	103	1009	10092
0	10	97	1012	10038
1	7	104	995	9935
2	12	93	987	10026
2	8	109	1021	10068
4	6	87	1014	10113
0	3	89	998	10004
3	18	108	984	10084
0	4	79	1005	9990
1	9	95	1019	10079
0	7	99	978	9952
0	10	94	951	9987
2	11	119	998	10046
0	6	80	999	9936
0	7	89	1040	9917
0	10	111	969	9951
0	9	106	1020	10089
1	5	96	982	9952
1	11	103	996	10051
2	14	103	1054	10034
0	10	102	950	9921
2	12	121	1003	9898
2	6	103	1004	10164
2	7	107	1015	9943
0	5	103	1007	9949
3	7	79	938	9892
1	7	92	982	9893
4	13	104	985	9924
0	9	78	973	9922
1	8	105	1011	10070
1	13	107	1012	9926
0	14	113	1024	9878
1	16	96	987	9818
1	10	94	980	9900
1	7	77	940	9712
1	15	105	1028	10022
1	5	86	983	10059
0	8	95	1010	10038
0	10	107	1029	10000
3	9	114	1000	10122
2	16	105	1028	9986
3	15	109	971	9978
1	12	110	1001	9945
2	9	93	1024	9959
1	11	94	940	9933
0	6	98	1015	10037
1	6	94	953	9952
1	13	116	1036	10179
0	7	96	1036	10009
0	13	94	988	10106
1	8	115	1047	9799
2	14	105	1035	10023
0	9	101	984	10030
2	13	120	1029	10031
0	13	109	1028	9854
0	5	93	953	9888
1	12	95	998	9818
0	11	112	961	10087
1	11	95	996	9856
2	11	76	983	10024
1	13	116	1058	9929
1	12	101	977	10031
1	9	106	958	9766
1	10	110	1025	10149
3	14	95	1020	10002
1	9	93	1005	10019
0	11	106	996	9949
1	11	115	1022	10093
1	16	117	973	9960
1	11	85	1001	10019
2	13	92	1000	10085
2	13	93	957	9980
1	9	91	972	9981
0	8	93	990	9962
2	5	96	988	10016
0	9	105	1040	10134
2	8	81	987	9920
2	12	118	1012	10153
2	15	104	1009	10036
0	12	106	976	9995
0	13	88	964	9949
1	7	109	959	9928
0	11	114	1026	10059
1	9	101	1050	9906
2	8	101	965	9936
1	12	94	995	9872
1	8	101	982	10097
0	10	101	948	10016
0	9	96	1003	10017
3	10	71	933	9914
2	11	90	943	9987
0	10	88	956	9804
2	11	102	1015	10025
0	8	97	1001	9972
2	11	111	1012	9993
2	9	97	981	9950
0	12	100	1013	9892
2	6	114	1021	10196
1	11	97	1007	9921
1	6	94	1021	10055
0	13	104	970	9837
1	11	114	971	10094
2	9	105	1036	10064
0	9	98	977	9943
0	16	91	974	10125
1	9	80	941	9944
1	11	108	1071	10210
0	6	92	1030	9995
0	11	101	1014	9955
0	12	95	1028	9977
2	13	109	1027	9996
2	10	98	984	9958
0	8	104	1001	10036
2	13	123	1040	10075
0	15	109	1053	10120
1	9	102	1029	10116
0	11	101	1090	10049
1	12	96	1005	10007
1	10	100	960	9966
1	7	91	989	9987
3	12	95	958	9858
0	11	109	981	9907
2	10	76	1001	10058
0	15	101	999	9999
0	5	92	1030	9953
0	12	109	1002	9859
0	5	89	1001	10087
2	10	107	994	9964
0	7	104	1000	9916
1	9	95	1027	10134
1	4	100	968	9827
0	10	103	1024	10004
0	5	107	1004	10062
1	8	90	1009	10126
0	9	104	968	9916
0	5	102	993	9951
0	11	97	1023	9944
0	4	99	1016	10194
0	10	98	990	10166
1	12	100	1025	9824
2	15	104	1042	10018
2	10	105	1035	10066
2	11	108	986	9993
0	9	92	1016	10017
2	12	96	981	9874
0	13	99	1036	10183
1	13	91	1018	9961
0	10	112	1018	10084
3	17	116	1045	10098
2	8	107	966	9699
2	8	106	994	9792
0	8	110	976	9937
2	12	94	964	9805
0	7	118	980	9982
3	7	101	969	10096
0	10	105	962	9976
0	10	94	941	10004
2	11	99	984	9975
2	14	96	1031	10166
0	13	99	1018	10063
3	8	99	1024	10312
0	7	96	1012	9911
1	6	79	1013	10097
0	8	102	973	9884
1	17	105	1009	10026
0	15	98	996	10103
1	10	111	1095	10098
0	12	105	1006	10021
0	8	101	1007	10140
3	14	108	1021	10146
1	9	87	984	9851
1	10	89	1024	9931
1	9	95	1022	10023
1	9	94	970	10073
0	8	101	1039	10072
0	10	85	977	10057
2	17	92	1005	9899
1	15	108	976	10085
1	17	103	1005	10131
0	10	108	1018	10062
3	7	101	986	9979
1	13	107	1032	9989
2	9	97	1015	10121
0	6	101	1061	9989
1	6	85	1018	10082
0	7	81	1040	9991
3	14	95	987	9989
0	5	88	1030	10331
2	11	108	1027	9999
2	15	104	973	9903
0	16	107	988	10072
1	6	102	1027	10237
0	9	98	993	9938
2	11	126	1015	9943
0	8	95	1003	9912
1	6	82	936	10024
1	12	110	1025	10100
0	8	93	950	9921
2	12	92	995	9938
3	11	106	1001	10048
1	9	80	946	9929
0	11	94	964	9854
1	5	90	1014	10054
3	15	106	1014	10016
0	11	111	974	10113
1	11	89	986	9878
1	13	112	1069	10061
1	13	110	988	10044
1	12	100	1051	10102
1	10	90	1020	9969
0	15	108	975	9896
2	9	98	970	9950
2	12	99	1002	9663
0	10	96	975	10171
0	11	110	1048	9998
0	7	96	956	9946
0	6	88	989	9968
0	6	119	1092	10311
0	11	107	978	10036
2	16	106	976	9967
0	7	112	1003	9928
3	14	120	1051	10172
1	12	104	976	9912
3	12	93	993	9994
1	9	88	988	10023
0	7	93	1023	10115
1	11	89	973	9894
0	4	93	1015	9824
0	4	86	994	9980
1	10	96	995	9937
3	15	94	1073	10019
1	11	99	1013	10051
0	8	105	1098	10054
2	12	97	959	9868
3	12	80	982	9923
1	10	103	1011	9921
3	11	95	1003	9935
0	7	80	980	9898
1	16	116	1030	9999
1	4	98	1026	10004
1	9	106	1001	10113
0	9	121	1032	10102
0	10	121	1009	9971
2	13	119	1014	10093
3	8	96	974	10022
0	15	99	1031	9959
1	16	102	989	9910
2	7	89	980	9821
0	14	104	1008	10000
0	7	94	1024	10102
1	9	116	1046	9890
0	11	108	964	9860
6	12	96	966	9849
3	9	98	971	9876
0	11	87	991	10008
1	5	93	994	9849
1	9	105	1035	9969
2	7	90	1000	10052
0	13	89	989	10251
1	12	93	1005	9869
1	9	111	961	9748
2	12	106	984	10001
1	13	102	1018	9993
1	9	94	951	9890
1	11	101	994	9904
3	9	91	978	9971
1	13	116	1040	9949
1	7	116	1023	10097
2	14	112	1067	10151
1	11	104	1042	10195
0	9	103	1040	10137
2	7	106	996	9990
1	11	103	1030	10105
1	12	83	966	9818
2	14	98	1047	9980
1	17	102	992	10155
1	4	82	992	9870
1	9	114	1045	9943
1	15	110	996	9735
0	13	111	990	10112
0	3	87	933	10028
1	9	87	1021	9938
0	8	117	1002	10178
0	9	106	1025	10102
1	11	113	1011	10116
2	9	101	982	10236
1	13	118	1014	9946
0	8	86	999	10101
3	16	123	1035	10055
0	10	97	966	10027
0	7	91	1011	9972
0	15	102	1004	9925
1	11	92	967	10052
0	12	93	983	9879
2	9	89	970	9972
1	3	77	1015	9998
1	9	122	998	9995
3	8	93	998	10016
0	7	100	946	9956
0	6	103	1000	9971
0	8	92	1004	10094
2	12	97	994	10058
2	12	104	960	10039
1	8	86	936	9760
1	8	97	1015	9881
1	8	91	953	10138
2	14	100	1035	10184
1	6	88	1023	9956
0	7	89	971	9946
1	11	101	1027	10088
1	11	93	1010	9922
1	11	94	968	9854
2	13	107	1000	9986
0	11	111	1001	9980
1	8	103	964	9907
1	11	124	1053	9980
0	14	96	989	10127
0	8	99	989	9867
0	9	101	997	9910
0	6	81	1028	10052
0	9	96	1023	9989
1	10	107	998	10155
1	12	99	1022	10060
2	10	80	1004	10249
1	15	102	987	9946
1	8	94	1004	9929
0	8	90	983	9791
1	5	88	1007	9814
1	15	95	1001	9973
3	13	94	978	9961
1	8	92	1004	10060
1	7	91	947	9794
0	16	89	1043	10057
1	9	108	1001	9924
1	11	93	987	9904
3	18	90	970	10006
2	10	104	1025	10038
1	18	95	965	9935
0	13	112	1003	10075
1	11	109	988	10018
3	9	97	1009	10127
1	6	100	1023	10058
0	4	120	1033	10024
0	14	116	992	9983
0	8	102	1010	9974
1	9	90	966	9874
0	12	109	991	10073
1	5	94	1018	10157
0	10	100	955	9842
1	12	90	958	9992
0	18	102	997	10001
1	8	85	954	9867
1	8	95	1002	10183
0	20	136	1002	10038
0	8	95	1004	9998
1	12	98	1040	10056
0	6	109	1010	9934
0	12	101	1058	10158
0	8	108	995	9868
0	5	106	1022	10033
1	5	110	1046	10111
0	6	80	970	10047
1	9	91	1013	9957
2	9	129	1045	9998
3	7	94	1048	10073
2	7	103	1001	10125
2	12	101	948	9967
0	6	97	970	9840
0	13	115	1039	10075
1	14	113	999	9963
1	6	83	999	10087
2	13	100	1033	10078
0	6	99	1025	9973
0	7	94	979	9938
1	5	98	1005	9967
2	17	128	1044	10042
1	10	95	957	9993
1	6	82	974	9983
0	10	80	941	9873
1	8	100	1023	10005
0	10	92	1001	10062
1	9	100	1005	9998
1	11	114	992	10014
1	8	93	969	9906
0	7	100	973	10054
0	12	111	998	10027
0	7	86	968	9958
0	11	103	1023	10006
2	11	85	964	9963
0	10	87	988	10163
1	7	103	948	9854
1	8	97	985	9923
0	8	90	1007	9935
0	8	82	977	9902
0	4	79	985	10022
2	7	84	958	10067
2	11	85	1010	10082
2	11	102	1010	10009
0	6	106	1032	10073
1	11	109	1020	10010
0	7	103	1004	10128
0	17	113	914	9986
0	9	90	960	10115
0	10	105	1005	10021
0	21	123	1024	9795
0	5	101	1012	9991
1	10	100	1026	9958
1	6	96	1027	9968
0	10	85	1006	9804
1	6	92	966	10055
0	11	106	968	9857
1	18	94	1040	10094
1	12	92	1004	9916
1	10	99	1019	10030
1	14	126	1054	10069
0	10	91	1031	10144
1	9	111	1018	10063
1	16	97	1015	10040
0	7	104	1045	10108
1	10	91	1028	10051
2	8	87	1003	10042
0	5	90	1000	10031
3	14	117	976	9835
1	6	89	1015	10049
0	7	84	1028	10161
1	11	105	1016	10106
0	7	79	961	9873
0	9	78	1056	10111
3	14	104	1048	10025
0	13	112	996	10142
0	6	91	1043	10088
2	18	109	1014	9903
3	12	85	988	9863
0	9	98	1025	9888
0	11	98	983	9908
1	6	105	1011	9973
0	6	82	1037	10156
3	10	96	974	9950
0	10	98	980	10141
1	12	98	977	9928
0	9	100	1034	10175
2	8	85	1002	9875
1	7	110	990	10007
0	10	106	1034	10006
1	10	105	1033	10118
1	11	100	996	10149
1	13	92	996	9895
2	10	109	1005	9870
1	8	105	1006	9879
1	10	108	991	10184
1	7	91	1024	9925
1	7	101	996	9949
1	7	90	999	10019
0	16	117	970	10158
0	8	85	992	9898
1	11	98	1010	10016
0	10	89	998	9895
1	6	97	949	10105
0	8	86	994	9985
1	9	95	953	9892
2	8	85	989	9984
1	6	107	1008	9903
0	10	116	1041	10202
0	6	106	989	10131
2	13	97	998	10044
1	6	93	977	9943
3	12	82	963	9971
0	9	104	1056	10004
0	3	98	1017	10176
0	5	94	935	9939
1	6	82	1007	10051
1	12	89	992	10215
3	7	108	979	9855
2	9	98	967	9901
1	9	84	976	10114
0	16	98	992	9941
0	9	106	959	9849
1	9	89	992	10050
0	5	96	1016	9929
0	11	112	1038	10002
3	13	101	976	9964
3	17	101	1016	10144
1	12	102	1008	9769
1	11	109	1027	10147
1	7	91	963	10002
2	13	97	999	10099
0	8	91	1013	9955
0	10	115	1025	10141
3	12	83	964	9936
1	7	95	1064	9986
1	7	89	972	10089
0	8	92	1018	9968
0	15	106	996	10199
1	8	96	1014	10161
3	13	99	1004	10040
0	12	106	1026	10002
2	11	124	967	9793
1	11	115	960	9845
0	13	109	1042	9932
0	4	94	973	9916
2	8	94	958	9999
0	8	89	1018	9929
1	9	99	946	10079
1	14	96	1032	10068
1	9	99	952	9954
0	7	84	975	10096
1	8	101	1007	9980
3	12	116	1054	10014
2	16	107	1000	10124
1	11	99	985	10055
3	9	121	1037	10051
2	11	108	1031	10090
2	11	104	987	9965
0	7	99	1000	10086
1	12	108	992	9918
3	14	109	1055	10240
1	9	109	1002	9970
0	10	109	974	9886
0	10	110	1010	10033
1	11	95	981	9990
1	11	87	989	10096
0	6	101	1050	9877
0	10	100	980	10048
0	7	85	998	10042
2	12	117	1008	10194
0	9	102	995	9800
2	10	104	1012	10121
2	12	96	960	9860
1	19	107	1006	9886
2	12	110	1076	10210
2	5	81	973	9938
3	11	88	956	9923
2	6	92	981	9958
0	7	118	988	10024
0	10	104	1046	9803
1	17	107	1070	9994
0	10	106	999	10016
0	13	108	995	10083
3	10	107	995	10167
1	11	90	1004	10007
0	8	96	954	9810
1	8	113	1003	10076
0	10	122	976	10083
0	10	92	1020	9949
0	9	104	992	10002
2	14	108	985	9971
0	11	112	1012	9952
1	10	102	1008	9900
2	14	96	1009	10022
0	11	102	964	9980
2	8	89	984	9951
0	6	110	960	9902
1	18	93	1029	10085
2	9	90	990	9893
1	8	92	1006	10004
0	12	104	996	9966
3	9	99	1043	10021
0	7	99	957	9882
3	12	94	972	9997
1	10	93	1026	10031
1	11	107	987	9803
2	11	123	1000	10025
1	12	102	1067	10146
3	9	101	1049	9986
1	17	104	1050	10070
1	12	117	999	9965
0	8	95	959	10030
1	9	84	982	9933
0	5	93	995	9880
2	15	110	1034	10051
0	13	92	959	9927
0	12	99	1070	9942
1	6	98	1006	10003
0	8	102	1013	9887
3	11	90	1011	9993
1	13	114	984	10043
2	7	83	999	10074
1	9	121	1033	9925
1	13	84	958	9911
1	15	112	1032	10068
1	10	103	1005	10073
0	8	94	940	9896
1	10	108	996	9810
3	14	106	1017	9834
2	11	98	1013	9923
1	9	113	1015	10018
1	12	103	997	10165
0	11	117	1011	10131
0	11	96	1008	10088
2	11	81	959	10035
1	8	79	1058	10136
0	8	96	1003	9897
1	13	101	1040	9885
2	9	102	1010	10130
0	6	103	1026	9958
2	12	114	1045	10216
3	11	97	992	9979
2	13	83	976	10032
1	9	97	1008	10075
1	12	102	1015	9970
1	8	110	1110	10257
1	12	107	945	9902
1	7	112	1017	10109
1	10	109	962	9900
1	11	94	1001	9954
0	11	95	1007	10037
0	8	92	1053	9992
0	3	94	996	10182
3	11	118	996	9858
1	13	95	1004	9918
0	13	91	961	9900
2	6	85	963	9840
1	13	105	1023	9998
2	6	89	978	9924
3	11	108	1004	9949
0	12	105	1015	9999
1	9	90	1000	10044
0	8	77	957	9877
0	4	88	1020	10023
0	9	85	989	9941
2	11	102	1016	10020
2	12	109	1042	9911
0	8	81	1047	10011
3	11	109	1026	10019
3	11	119	990	10019
2	11	106	1025	10139
0	9	112	1019	10252
0	13	105	994	10134
1	14	103	1063	9886
2	9	93	968	9960
0	5	110	1038	10125
1	5	95	990	9933
